date,location,category,keyword
"Aug 3, 2018","HOLLAND, Mich.",Home Improvement and Renovations,home improvement
"Aug 3, 2018","RALEIGH, N.C.",Business News,Awards
"Aug 3, 2018","FARIBAULT, Minn.",Animal Husbandry,Suzette Belgarde
"Aug 3, 2018 19:48 EDT",NEWYORK,Cryptocurrency,Cryptocurrency
"Aug 3, 2018 19:54 CDT","HAMMOND, La.",Franchising,corporate
"Aug 3, 2018 21:25 EDT","HOLLYWOOD, Fla.",Beauty and Cosmetic Products,Infinite Beauty
"Aug 5, 2018 11:45 EDT",MIAMI,Real Estate,bridge loans
"Aug 6, 2018 07:00 HKT","SHENZEN, China",Electronics,IPC
"Aug 3, 2018","EMERYVILLE, Calif.",Financing and Student Loans,college tuition
"Aug 3, 2018","ROHNERTPARK, Calif.",Financial News,dying industry
"Aug 3, 2018","SANRAMON, Calif.",Active and Healthy Living,fitness
"Aug 3, 2018",ATLANTA,Entrepreneurship,African American Marketing firm
"Aug 3, 2018",LOSANGELES,Marketing,adwords management
"Aug 3, 2018",LOSANGELES,Active and Healthy Living,active lifestyle
"Aug 3, 2018","APOPKA, Fla.",Consumer Electronics,apple watch
"Aug 3, 2018","WILMINGTON, Del.",System and Data Integration,API
"Aug 3, 2018",NEWORLEANS,Real Estate,Cloud
"Aug 3, 2018",SEATTLE,Aeronautics and Aerospace,3D printing
"Aug 3, 2018",SANDIEGO,Healthcare,Alzheimer's disease
"Aug 3, 2018","PLEASANTON, Calif.",Healthcare and Medical Informatics,Dispense Supplements
"Aug 3, 2018","PETALUMA, Calif.",Entrepreneurship,company time
"Aug 3, 2018","POLAND, Ohio",Healthcare,Clime Rd
"Aug 3, 2018","SACRAMENTO, Calif.","Restaurants, Bars, and Catering",Downtown Commons
"Aug 3, 2018","EMERYVILLE, Calif.",Financing and Student Loans,federal student loans
"Aug 3, 2018","CALGARY, Alberta",Finance,Canadian banks
